Employee Title,Location,Pros,Cons,Rating,Company Name
Anonymous Employee,Berlin,"Good teams and setups, solid Ways of working","Management crisis, high turnover on management level, from Leads to C-Level",3.0,N26
Senior Software Engineer,Berlin,"Work environment relaxed, even better after the works council was entered (not without some tricky avoidance from top managers)","Management is not really ready to listen opinions different than theirs, and not really concerned about developing careers.

Attrition is high. Salaries are punished with the flag of ""we have to become profitable"", but the top whole compensation schema is blurred. 

There is plenty of evaluation for Individual Contributors, but not the other way around. Despite there is a supposedly anonymous feedback tool, the reports are given by department or team, so if you are serious answering that is not difficult to conclude who is writing.",2.0,N26
Anonymous Employee,Berlin,The teams have some of the nicest and hard working people.,"The managers in this company do not support those wonderful people, to the contrary, they create toxic environments and try to pit coworkers against each other, and also use lies and bullying to keep people in line or drive them away",1.0,N26
User Researcher,Berlin,"Diverse work, lot's of in-house talent",Some uncertainty with organisation direction,4.0,N26
Analytics Engineer,Berlin,Wonderful people to work with and state of the art tech stack.,Project workflow can be lost in the thread when changes happen. It is easy to lose the reason why that kind of project needs to be delivered.,3.0,N26
International Customer Support Specialist,Berlin,Good place to work in general,Not so much chance of growth,3.0,N26
Compliance Specialist,Berlin,the company still is quite interesting,the salary is quite low,3.0,N26
Product Designer,Berlin,Great people. Fun product. Learnt so much,Too many layers in the org after scaling a lot very quickly.,5.0,N26
Backend Engineer,Berlin,"good vibes
good peoples
nice office in the center of berlin
work from home",problems with budget regarding salary updates,4.0,N26
Senior Product Analyst,Berlin,Full Remote work. The product analytics team is a nice and supportive team.,Product leaders need more focus on being more data informed. The data insights culture still needs some maturing.,3.0,N26
Human Resources,Berlin,"-Company is fairly diverse which is really interesting. Lots of professionals from different countries
-Hybrid work environment
-Personal Development Budget (you can use it for courses, bootcamps etc)","-N26 has had several layoffs, doesn't seem to be a company where longevity is possible!!",3.0,N26
Intern,Berlin,flexible working conditions and relatively fair salary,"terrible management, lots of people in my department left already",4.0,N26
Banking Operations Specialist,Berlin,"- competitive salary 
- autonomy and flexibility",- not a great team building (noone ever goes to the office),5.0,N26
Junior Designer,Berlin,"- Good growing opportunities
- Good starting salary
- Good team",- Not a lot of freedom,4.0,N26
Specialist,Berlin,"experience gainnig, one weekly lunch and a pizza Friday","not organised, not transparent, demanding, very very bad paid",2.0,N26
Anonymous Employee,Berlin,"N26 provides atmosphere if you willing to grow, there's a lot of improvements to be done and team is very welcome for change",Driving changes sometimes take time and not every team member understand around change management,5.0,N26
Complaints Analyst,Berlin,Very nice atmospheres and opportunities,A lot of politics between the work council and management,3.0,N26
Digital product strategy intern,Berlin,exposed to a bank in a fast moving environment,"it was a bit cowboy like, as in not so many mentorship and support systems",4.0,N26
Recruiter,Berlin,"- proper pay (as for 2022) 
- benefits 
- corporate culture and branding 
- team","I only heard, but didn't experience, that upper management can be quite toxic and demanding
Also now, after a couple of rounds of layoffs, people who stayed have much more to-dos on their plates and much more pressure",4.0,N26
Senior Site Reliability Engineer,Berlin,"Most teams in Platform Engineering segment were full of really good people, and managers within the segment were competent and empathetic.

Work was usually interesting and there were opportunities to explore and adopt new technologies.

German employees have an active Works Council that strives to improve working conditions for employees and make the company more successful. Planned conversion from AG to SE (Societas Europas) will provide similar representation for employees in Spain and other EU countries. This is unusual for a tech company, but IMO a good thing for N26 and its employees.","There's a lot of technical debt, Compliance requirements and bureaucratic overhead can be significant roadblocks to getting things done.

Company values for diversity and inclusion are very progressive, but this is not reflected in upper management.

Company-wide initiatives and changes in direction can be quite disruptive to accomplishing goals.",4.0,N26
Business Ops Manager,Berlin,long hours but worth it,"lack of stable leadership, high attrition rates, dissatisfied employees, toxic work culture",1.0,N26
Financial Crime Investigator,Berlin,Good life work balance. Modern management.,No strong career prospects and weak compensation,3.0,N26
Engineering Manager,Berlin,"I was able to apply myself to problems that I cared about, learn a lot, and got to enjoy delivering on some good challenges.",Everyone is busy and it can be hard as a manager to get support from others or even to work on projects in collaboration with other managers.,3.0,N26
Anonymous Employee,Berlin,"Great work culture
Extremely focused leadership across.",Nothing at the moment to share.,5.0,N26
Recruiter,Berlin,"Provides you with a great network, but it's a high stress environment with many manual processes",a bit toxic at times,3.0,N26
Junior AML Analyst,Berlin,"When I was working at N26, I was honored to be offered as many opportunities as I did given I didn't have a great CV or university degree prior to working at N26.
Leaders were always open to give me a shot and see how I do, if I was willing and interested in progressing.","I don't have obvious cons to report. The environment was fast paced, which I loved, the consequence of that is that the culture aims to innovate and is willing to fail/ sacrifice efficiency however, which made the experience very energizing for me. I can see how it might be taxing for others however.",5.0,N26
Data Analytst,Berlin,High likelihood to find likeminded people,Company culture not aligned with what they assess,3.0,N26
Recruiter,Berlin,"The product stands out as exceptional and easily accessible. Within the team, there are competent individuals among both direct team members and stakeholders, fostering opportunities to build connections beyond the confines of professional relationships.","The workforce planning was erratic, with frequent shifts in outlook, leading to an environment of perpetual uncertainty. Transparency was not just lacking but replaced by a disconcerting pattern of deceit, eroding trust within the team.

A particularly disheartening episode was the handling of mass layoffs, with the Talent Acquisition team facing layoffs three times within 18 months. Dubious reasons coerced team members into signing mutual termination agreements, only for the company to later claim imminent profitability.

TA team's work culture is tainted by favoritism, where climbing the career ladder is more about being a 'yes-person' than actual competence. Those willing to act as unquestioning puppets are favored, irrespective of their contributions.

For those seeking a workplace that values genuine effort and encourages career growth based on merit, please think twice. The constant threat of layoffs and a culture of fear make professional development secondary to survival.",1.0,N26
Customer Service Representative,Berlin,modern start up environment in financial services,no meritocracy take into consideration,2.0,N26
Business Operations Analyst,Berlin,"Corporate benefits (development budget, public transport ticket, home office budget)","Terrible team culture, managers are not trained on people management, higher ups are not motivated to work they are just sitting on their cushy salaries",3.0,N26
Customer Service Agent,Berlin,Flat hierarchy. Easy to approche the management,Heavy workflow. Late shift rotation,2.0,N26
Anonymous Employee,Berlin,Work life balance - flexibility - good benefits - great work environment,"- Started 2 years ago and everything was perfect, growth opportunities, commitment from the management towards benefit maximization, empathy and a great communication flow. In the past 1 year at least it seems like a totally different company; all those great values are now missing, there is no clear path towards growth, promotions and compensation budgets are minimal (and on hold) and the political environment between management and the WoCo is worse than ever. - Management lacks open communication and turnover is skyrocketing, sadly with the most capable colleagues, not to say those that were offered to leave the company due to 'strategic priorities'",3.0,N26
Talent Acquisition,Berlin,Some great team members to work with,"Do they really care about you, or are you just another TA number...",3.0,N26
Associate,Berlin,Good people Growth opportunities Nice offices Opportunity for change,Leadership Performance reviews Salaries Benefits,4.0,N26
Analyst,Berlin,the pay is quite alright,"company with terrible management and issues of communication,",1.0,N26
Business Operations Associate,Berlin,I've been working at N26 for 2 years and had all the support I needed to grow. I am doing an internal change to another team to keep on learning and keep on developing my career. I like that I can have a lot of impact at N26 and always keep on improving things :),"At the moment, company is trying to find its pace again, which is great but demand a lot of work and commitment.",5.0,N26
Anonymous Employee,Berlin,Base salary Remote policy Flexibility Autonomy,Top Management Politics Works Council,4.0,N26
Manager,Berlin,"Nice perks, Great offices and very nice team mates. Looking for some positive trend ahead, at the end N26 app is one of the best in fintech space.",Not many but the financial environment is not benefiting now tech companies.,5.0,N26
Anonymous Employee,Berlin,"Some people were cool but most of them already got laid off, the company name is still good in your CV but it’s a place to stay for a bit and then leave.","Very political environment across most departments, the people who get promoted are the not the ones who necessarily deserve it, very uninspiring, sometimes incompetent and often inexperienced leaders. Employees known it, but don’t bother to say it, as the feedback culture doesn’t work the same for everyone. Benefits are not competitive at all and no budgets to work with, just big unrealistic expectations. Great employees are leaving in big numbers nowadays.",1.0,N26
Data Scientist,Berlin,"Good learning curve, good talent.",Converging towards a hierarchical approach in decision-making and problem-solving.,4.0,N26
Senior Product Manager,Berlin,Amazing mix of people Great office Great spirit Highly ambitious,Sometimes lack of domain expertise due to average age of staff,4.0,N26
Senior Investigator,Berlin,"Good enviroment, possibilities to grow",The company should introduce bonuses for employees,5.0,N26
Finance Analyst,Berlin,- Flexibility - Environment - Team spirit - Workload - Events,- Poor growth - Poor Compensation - Lack of communication - Lack of transparency - Chaotic,3.0,N26
Analyst,Berlin,"Great work environment, nice people, Great flexibility at work",it is not always as they say it is gonna be,4.0,N26
Backend Engineer,Berlin,1. Good work culture and very helpful set of engineers and leaders 2. Reasonable employee benefits 3. Streamlined process in running the project 4. Open feedback systems,1. Limited Internal Mobility Options 2. No Performance Bonus system.,5.0,N26
Anonymous Employee,Berlin,"Flexible young environment, inclusive and international",Not all departments are treated equally,3.0,N26
Business Operations Intern,Berlin,"Flat hierarchy, steep learning curve",Multiple stakeholders involved in projects,5.0,N26
Product Marketing Specialist,Berlin,- WFM - Dynamic environment,- Avg. salary - Stressful,3.0,N26
Operations Lead,Berlin,Amazing people to work with and diverse colleagues,BaFin regulations lead to some roadblocks to every day tasks,4.0,N26
Anonymous Employee,Berlin,"The product is nice and some of benefits, eg BVG ticket, Germna classes were super good.",I had a feeling that management didn't know how to run business/work and their poor decisions/actions can take a company down. The hiring strategy is also weird - hiring foreigners from abroad as they are just cheap labor cost but very often are have bad qualifications.,3.0,N26
Senior KYC Specialist,Berlin,A lot of processes to learn from,A lot of processes going on at once,4.0,N26
Business Analyst,Berlin,"Young Environment, Perfect Work-Life Balance",I don't have anything right now,4.0,N26
Anonymous Employee,Berlin,"Remote work, very warm product and tech community, good work/life balance","Very high employee turnover, hiring freeze, salary freeze, recent layoffs, not supporting management, very unstable and oftentimes toxic working environment",1.0,N26
Customer Service Representative,Berlin,The onboarding process was very smooth,Sidelined for positions that were already going to be filled by particular person.,1.0,N26
AFC Associate,Berlin,Overall great experience working at N26. Friendly atmosphere most of the time. Flexible working hours. Personal development budget. Culture of helping each other within the team. Great compensation package.,Lacking opportunities for promotions and salary review,4.0,N26
People Operations,Berlin,Good place to start your career.,Still learning how to transition to a sizable complany,5.0,N26
AFC Operations Analyst,Berlin,Great team leaders and management,Serious lack of overall organisation at top management level.,2.0,N26
Lead/Data Analyst Manager,Berlin,"Great culture, people is extremely nice and helpful. Great place to learn and grow.","Lots of structural changes can happen in short time, which makes it difficult to have an established set of goals for each position.",4.0,N26
Product Manager,Berlin,Product and industry have many untapped problem space to deliver substantial impact,"Long working hours, unclear strategy and weak human-centric leadership",3.0,N26
Analyst,Berlin,Working Culture within Teams is amazing,C-level and the Management do not care about employees and are very chaotic.,2.0,N26
Anonymous,Berlin,Love the opportunities we are getting. Interesting problems to solve and great colleagues,Leadership not open to feedback / critical about the own performance,4.0,N26
Senior TA Partner,Berlin,"Working environment, leadership, interesting work, decent bens","You get out what you put in, but tight deadlines",5.0,N26
Senior Software Engineer,Berlin,"- Extremely talented professionals across the company - High quality software and principles - Nice benefits, but there's also room for improvement",- Founders (who still hold c-level positions) clash constantly with employees in many fronts - Silos everywhere by design with eventual collaboration efforts for specific cases,4.0,N26
Risk Manager,Berlin,"Company dynamics, community, and perks",Informal organization with conflicting centers,4.0,N26
IOS Engineer,Berlin,Nothing really in comparison to other places. normal salary normal benefits. just a place to work for short time and jump to other places.,"Terrible management. Constant change of teams and structure therefore your job is not secure. There is official and unofficial layoffs all the time. Zero transparency over how the company is doing. you just won’t know if they’re going bankrupt or ipo. Employees worth nothing to upper management. you stay you leave or you die, no one cares. Promotions happen only to specific people.",1.0,N26
Team Leader,Berlin,"Fast-paced environment with lots of chances to make a real impact. The people are nice, team leads tend to think too much of themselves but the average folk is fine.","Senior leadership seems to be living in a parallel world where they know everything and levels below are there just to execute their horribly planned ideas. Oh, and diversity... well, that's a whole topic.",3.0,N26
Senior Product Manager,Berlin,Stable salary Great team Name Offer relocation,not clear growth plan burning deadlines every time Top management Politics,4.0,N26
Team Lead,Berlin,"Not much pros left there to be honest. I cannot think of anything. Maybe salary is more than average but the pressure is so much it does not worth it. It's like living in a high paying 3rd world country. It's paying good, but in a dictatorship.","Terrible management, zero transparency, employees do not have value they're just numbers, constant team changes, company wide policies change by day, start of month company could be a remote-only, end of month it could become office only. Or one day it's all good, the other day they have to layoff people randomly.",1.0,N26
AFC AML Associate,Berlin,"Colleagues, perks, transport card, fruits, laptop",Bad Management Many tasks to do Micromanagement,2.0,N26
Anonymous Employee,Berlin,"Some very dedicated, helpful colleagues. 
Some interesting projects and customer focused initiatives. 
A new office with hopefully working air conditioning - a potential upgrade from the previous ""storage space"" offices. 
Relatively ok salary compared to the ""IT sector"", but quite poor when compared to the financial sector.","Where to start and when to stop...? 

Appalling behaviour towards the workforce at top management level, reflected in the numerous open court conflicts between employer and employees' representation. Recent media leaks confirm reprehensible behaviour even among themselves.

""Cost cutting"" measures that border on the ridiculous and are actively hindering productivity & development, the type of ""shoot oneself in the foot"" measures.

Unclear career paths.",1.0,N26
Talent Acquisition Specialist,Berlin,Flexibility and Remote work is great,I don’t have anything to add here,5.0,N26
Software Quality Engineer,Berlin,- High Pay - Stress free environment,- Hard to get promotion,4.0,N26
Sr. Technical Program Manager,Berlin,"N26 is a great company to work for, especially as a Sr. TDM. The environment is positive and supportive, and management truly empowers you to take full control of the product or program you're leading. This level of trust is rare in many companies, but at N26 it's the norm. Additionally, management is transparent about how and why decisions are made, which helps everyone feel like they're part of the process. One of the best things about working at N26 is the open environment where everyone can share their opinions and concerns. As a Sr. TDM, I feel like my contributions are valued and directly contribute to N26's growth. I highly recommend N26 as a great place to work, especially if you're passionate about fintech and want to work in a supportive and transparent environment.","One area where N26 could improve is compensation. Salaries and compensation are lower than the market average, which can be frustrating at times. Also, due to the highly regulated nature of the business, programs can move slower than other domains unless you have prior experience in a similar environment.",5.0,N26
Financial Crime Intern,Berlin,"The tech, great office culture (snacks, various subsidies etc) and the people, good growth opportunities",Job security is not always a certainty given N26's poor record of compliance and reputation as an organisation; also management is very quick to fire people,4.0,N26
Lead Software Engineer,Berlin,- flat hierarchy (everyone has equal voice) - mutual trust - functional work council - friendly colleagues - constant learning,- sometimes top down decisions/plannings,4.0,N26
Recruiter,Berlin,"Good salaries, modern tools and technologies","poor management and leadership, no focus on retention and internal career development",3.0,N26
Business Operations,Berlin,- Paycheck punctual at the end of the month - Good office facilities - Successful Product,"- It's a bank. They will sell themselves as an amazing tech company, but inside it is a bank. - The organization is designed without proper incentives and it is highly disfunctional. - High turnover rate of top management and employees. No proper policies for retaining the talents.",1.0,N26
Product Lead,Berlin,Growth and hands on mindset,"Culture is not people oriented, leadership expecta high rotation and investment in retention is low",5.0,N26
IT Manager,Berlin,Great place to work Friendly people,None for a big startup,4.0,N26
Talent Partner,Berlin,- cool name - great people,- working culture - salary - leadership team,1.0,N26
Customer Service Agent,Berlin,Nice people work there and free lunch,Very low pay and layoffs when market closed,2.0,N26
Finance Business Partner,Berlin,Very smart individuals. Full filling environment,White boys club story is true.,3.0,N26
Business Operations Analyst,Berlin,- Meaningful Impact on Projects - Responsibilities out of scope - Huge exposure - Great team bonding,Solving new issues/problems on a daily basis,4.0,N26
Recruiter,Berlin,Great company and culture. I get done attitude.,I don't really have anything bad to say.,5.0,N26
Team Leader,Berlin,Good benefits as remote work and bvg subscription,"Many tasks to do , working constantly under pressure. Management without soft skills",4.0,N26
Senior Software Engineer,Berlin,- work-life balance. - good team - Diversity and inclusion,"- chaos and no clear vision. - managers have no idea how to manage ICs, whereas agile coaches are leading the company. - Average compensations. - no clear guides on how to get promoted",2.0,N26
Associate,Berlin,"Work hard and it will not go unnoticed, a learning of really talented people to learn from.",None that come to mind,5.0,N26
Manager,Berlin,Had a good experience there.,Senior management was a bit shaky.,4.0,N26
Group Product Manager,Berlin,"- Early team was incredible – collaborative, hard-working, high ownership, compassionate. These people became an invaluable network for life - Very strong growth curve - Opportunity to work on interesting topics with high customer impact","- A's hire A's, B's hire C's. As the company went through hypergrowth the quality of new team members went off a cliff. Became commonplace for a meeting to have 10+ people, none of which could actually do anything or had decision power - Extremely volatile c-level management. Poor strategic product understanding",4.0,N26
Strategy & Operations Associate,Berlin,Environment is quite healthy and nice place to grow,Salaries used to be a bit low and it's a founder led company implying that loads of decisions are taken by founders,4.0,N26
Strategy Manager,Berlin,- Ability to shape the role for yourself,- Terrible management and culture,1.0,N26
Software Engineer,Berlin,Good work-life balance Well structured,Unclear personal growth path Bonuses and stocks not available under senior levels* *under change,4.0,N26
Content Writer,Berlin,The teams are great and i love to work here! Flexible Workplace and homeoffice makes it an amazing place to work,Sometimes unstructured communication und collab in between teams,5.0,N26
Project Manager,Berlin,"Good people management, some evolutions opportunities. Good personal development budget","Silos communication between department, fast pace (could also be a pro I guess), turn over in higher management. Good culture and values",4.0,N26
Customer Service,Berlin,"good onboarding and training process, nice benefits, flat hierarchies, nice atmosphere at work.","little work life balance, little flexibility",4.0,N26
Customer Service Agent,Berlin,Payrise came after 1 year Free lunch meal once a month in-office Flexible with time off for holiday Great Team Leads Very good with sickness time off,"Not great with remote work Work laptops are all very limited No bonuses Doesnt offer any mental health support, or any incentives to stay (in comparison to other companies)",3.0,N26
Customer Service Representative,Berlin,"nice work environment, nice employees",not enough benefits pay could be higher,5.0,N26
Senior Java Developer,Berlin,Nothing to be mentioned at all.,Thieves because they're not subject to the central bank which is governed via a country rules,1.0,N26
Quality Assurance Analyst,Berlin,"work from home, no micromanaging",work is repetitive and not that motivating,4.0,N26
Working Student,Berlin,"Working for N26 as a Working Student was a very nice experience. Besides making it easy to study next to the work by facilitating a very positive and open atmosphere, I have learned a lot of workplace fundamentals from this place. One could always ask for support, one would always get tasks to challenge oneself but was guided if needed to. A very good workplace for development.","One has to asked to be mentored, sometimes a little bit unstructured.",5.0,N26
IAM Consultant,Berlin,"Work life balance, Team support, work environment, Job security",Nothing applicable as of now,5.0,N26
WFM Specialist,Berlin,Good chance to develop within the company,Not everything is so well planned,4.0,N26
Internship,Berlin,horizontal hierarchy many tasks for an intern learned a lot about AFC AML Topics,"growing enviroment, therefore no perfect structure spontaneous tasks, which can take long",4.0,N26
Training Manager,Berlin,"I feel my job is really valued here and I could say that N26's employees have voice and are heard. All the guidelines regarding promotions are transparent and clearly established so you know what to do and what to expect, different from other places where no one gives any hint about growth possibilities. There is also a nice thing about collaboration, I was always helped by people from other departments when I needed.","I have been working for N26 for almost 9 months and I couldn't be happier. I do not have any ""con"" to mention here.",5.0,N26
Tech Lead,Berlin,"Good work/life balance, growth opportunities, good culture.",C Level could do better into earning employees trusts.,4.0,N26
Wissenschaftlicher Mitarbeiter,Berlin,"Team spirit
Possibility to grow
Supportive Management
Location
Employee benefits",I do not remember any kontras,5.0,N26
Senior Product Manager,Berlin,"Compensation, work-life balance, and a very friendly environment. There are great professionals to learn from.","Leadership, messy priorities and processes to be defined.",4.0,N26
Senior Customer Service Representative,Berlin,"Benefits to keep you entertained - pizza, snacks, drinks, parties, bean bags etc. Young workforce, good for connections.","Managed terribly, serial quitting, impossible to get a permanent contract in CS. The product was riddled with issues in 2020 that can't have been solved by now.",2.0,N26
Intern,Berlin,"Great Team
Great office
Great equipment and benefits",You don't meet a lot of external departments in addition to yours because N26 is made out of more than 800 people.,5.0,N26
Mobile Engineer,Berlin,"- Culture is pretty good
- Work Life balance is greatly maintained 
- Stable Company with increasing growth every year
- Almost the latest tech stack in the market
- Good team diversity and your opinion matters with the product","- Slow process to do most of the things
- Leadership can change their decisions quite fast sometimes",5.0,N26
Compliance Manager,Berlin,"1. Lots of opportunity for growth, autonomy, and ownership. You can really take a project and drive it forward to end, though it will take a lot of persistence. 
2. They stepped up their salary bands in the last year or so making the work well work it
3. Never bored, there’s always something to create, change, or fix. 
4. ELT/c level team is competent and I do trust them and their vision
5. The majority of my colleagues are solid people who really want to make things better and care about their jobs.","1. Middle management / heads of etc. are really problematic. They aren’t competent or are simply lazy. You’ll completely lift and drive an entire project and they’ll still somehow try and steal credit for it which I find very morally problematic. Additionally, they’re rude and entitled. This is known by the whole department though. They need a huge overhaul of these types of people and really get strong leaders with extensive experience in their subject matter. A little emotional intelligence wouldn’t hurt either. They’ve been here long enough, time to go. 
2. The workload can be stressful, work life balance is not a value touted in my department at all. 
3. Promotion structure is very messy. Woco has been trying to change this I think, but I think promotions aren’t led by a very organized team. A lot of information around this is outdated on their internal sites and their solution to this is 2 weeks before a cycle to have big info sessions. People care a lot about promotions, the people team should at least act they do too.",3.0,N26
