Employee Title,Location,Pros,Cons,Rating,Company Name
Mobile Lead,Berlin,"- Great brand
- Smart people
- Reasonable salaries","- Management leaves a lot to be desired for
- Backstabbery
- Middle/upper management engage in petty politics",3.0,N26
Tech Lead,Berlin,I’ve been there for around 2 years and I can say that they really care about the people. I’ve seen so many initiates around improving the work life and how to do better.,"Like all other companies in the planet, there is always issues. In a regulated bank, expect to have to do boring stuff a lot. But the balance is acceptable. But don’t expect it to be a startup. It is past that stage for ages. It’s a big co. Now so you do know what you are signing up for.",5.0,N26
Intern,Berlin,"lovely people, benefits could be stepped up","sometimes toxic culture, especially management and founders don't even say hello",4.0,N26
N26 Campaign Customer Service Representative,Berlin,People are talented and friendly,Maybe sometimes it is hard to find other positions in other departments,2.0,N26
Product Intern,Berlin,"+ great team
+ supportive management
+ flexible","- unstructured processes
- high employee turnover",4.0,N26
Product Manager,Berlin,"Teams and people are awesome, cool product, lots of resources to do your job","Poor processes handling, difficult company culture, people leaving all the time",1.0,N26
Anonymous Intern,Berlin,"Great team, people help each other and all team members are very responsive. There is mutual respect and cooperation. Events and team building give employees the opportunity to get to know each other better. Good working conditions have been created for people.",There are no cons here.,5.0,N26
Senior Product Designer,Berlin,The culture in the product team is great,Leadership has some hiccups regarding transparency,5.0,N26
Banking Operations Analyst,Berlin,"good benefits on self development
possibilities for a promotion
supportive teams","no bonuses
not allowed to work from another country like many other companies offer",3.0,N26
Analyst,Berlin,"Very multicultural environment. Friendly people, a typical Berlin startup.","It’s growing fast, maybe too fast for their own good. Quite messy when it comes to roles, task, etc. it really depends on you Manager if your team has a clear objective.",4.0,N26
Senior Product Designer,Berlin,"1. Amazing work-life balance
2. Appreciate the standard of work aimed despite how much we can achieve
3. Greate people, progressive culture 
4. Great learning opportunities and support","1. Understaffed teams
2. Major setbacks from lay-offs
3. Unclear ESPO policy
4. You may spend more time on probation that you imagine",3.0,N26
Business Operations Manager,Berlin,"Lots of learning, great team, bright people",Too Frequent changes in leadership,5.0,N26
Senior Team Lead,Berlin,"dynamic, frenetic good salary for all the positions above the cs specialist role","Extra hours, unstable and incoherent invoriment",4.0,N26
Software Developer,Berlin,Employee friendly overall very good,Not seeing any cons here,4.0,N26
Technical Lead,Berlin,"technology, problems to solve. Initiatives. Stable.",Fighting with regulatory aspects .,3.0,N26
Anonymous Employee,Berlin,"Open communication style in that you feel like you can be yourself with colleagues
Colleagues are friendly and helpful
If you're solution-oriented and driven, you can go a long way
Market average compensation (after some time)
Flexible work situation (after some discussion)","There are many growing pains still and more senior people with diverse backgrounds/experience need to be pulled in to drive this organisation 
Cross-functional support/ownership isn't organised well and you'll often be passed along to someone else to no avail
Doesn't really feel like the founders care that much about employees (they lack empathy signalling)",3.0,N26
Senior Technical Recruiter,Berlin,"Frist weeks are awesome, a lot of welcoming people and nice environment.","For now, there are many people leaving the company and I believe that interin positions are not the answer for Turn Over",5.0,N26
Senior Recruiter,Berlin,"great team 
good processes
a lot of people who are talented and you can learn from","crazy politics and unfair practices 
nepotism",3.0,N26
"Software Engineer, Backend",Berlin,Good work/life balance. Nice perks,"Not very competitive salaries and career, not very good retention program",4.0,N26
Anonymous Employee,Berlin,"flexible hours, location, learning opportunities, good salary",lack of consistency in management decisions,4.0,N26
AML Intern,Berlin,"International staff, opportunity to build great relationships with many different people. Employee perks like free lunches, free food on special occasions etc. Can grow a lot professionally and get great experience if you are motivated and self sufficient.",Seemed chaotic/ wasn't much training at all for new interns. Would hope that by now there is a more systematic training program in place for new employees.,3.0,N26
Operations Manager,Berlin,Happy working here I guess,Work life balance is not great,2.0,N26
Software Engineer,Berlin,Free drinks and that's all,"The principal engineers are absolutely the worst engineers in the whole company.

Nobody knows how they’ve been promoted, they were previously very toxic and incompetent tech lesds.",1.0,N26
Verification Specialist,Berlin,"Many benefits like Wednesday lunch, Friday beers, discount in public transport.",Only possible work from office,4.0,N26
Recruitment Coordinator,Berlin,"I really love the culture here. Of course, it always depends on the team, but I felt like home since the very beginning.
You have a lot of chances to grow and develop, take side projects and contribute to building processes.
It's a very dynamic and changing environment, which can be challenging, but at the same time exciting. 
There are a lot of team activities and diversity and inclusion are not just words here.","It can be chaotic sometimes. 
Miscommunication can happen, you have to just stay on top of things and double check. 
You have to love this fast paced environment, as it can be challenging.",5.0,N26
Banking Operations,Berlin,"Wonderful experience there, gained a lot of inputs, met great people and got fairly paid",The only Cons where more due to the pandemic,5.0,N26
Human Resources Business Partner,Berlin,N26 on CV is good for career at the moment,"the salary is low
they are not hands-on",1.0,N26
Bank Assistant,Berlin,"- Amazing work environment
- Great growth opportunities 
- Attentive managers who care about teams and support 
- Infinite learning opportunities 
- You can work in one team and be able to expand knowledge about other teams and they ways of working as well 
- Internal moves possibilities 
- Everyone's ideas and opinion are appreciated and can be implicated 
- Freedom for creativity","The company is very fast changing, so you need to be prepared to follow and adapt to it",5.0,N26
Executive Assistant to Managing Director,Berlin,"- N26 is entering a new phase of its development, professionalising itself in all areas and expanding its teams with great minds coming from all over the world.

- N26's leadership team is stabilising after a period of high turnover and lots of great profiles have been added to the team over the past months which highly influences the strategy for the company and for the people.

- Very competitive compensation & rewards package with tremendous opportunities to learn and grow.

- Offices in the heart of Berlin with lots of additional perks and benefits.","- You need to be able to find your way in a fast-paced and fast-changing environment.

- A lot of work to answer ongoing challenges for neobanks and fintech companies (compensated by great opportunities to learn, great colleagues and good remuneration packages).",5.0,N26
Personal and Administrative Assistant,Berlin,"- culture
- colleagues
- leadership
- benefits
- career","Nothing bad to say, I like to be here.",5.0,N26
Office Manager,Berlin,Good benefits and salary provided,More pressure in terms of work,5.0,N26
Anonymous Employee,Berlin,Great people to work with.,Confusing communication from leadership. They really need to have more realist goals instead of putting their teams under a huge presure.,3.0,N26
Internship,Berlin,"Very nice and talented coworkers 
Nice office","Lacking overall team spirit 
Little to no contact with management",4.0,N26
Business Operations Associate,Berlin,"- High degree of autonomy
- Steep learning curve
- Good team culture","- Intransparent leadership
- Lack of focus and strategy
- No career development",4.0,N26
Business Operations Associate,Berlin,"Great place to learn and develop, great peers","Chaotic nature, incentivization and reward wildly differ, big cultural shifts ongoing",4.0,N26
Software Engineer,Berlin,The company offers a clear path for career growth,Some processes are still quite chaotic and needs improvement,3.0,N26
Communications Lead,Berlin,"Dynamic work environment
good location
smart people","diluted culture
intransparent performance reviews
ESOP package",1.0,N26
Banking Operations Associate,Berlin,"Great working environment, excellent managers and amazing scope of growth.",Quite a fast-paced work environment.,5.0,N26
Software Engineer,Berlin,"Good learning job position:
- Good engineering culture inherited from thoughtworks
- Talented leads and seniors to look up to","In completely disarray since the hypergrowth, common to have issues with ownership and planning.
C level not in touch with the engineering department.",3.0,N26
AFC Analysis,Berlin,"like every other startup, good atmosphere between peers","Poor mgmt and C-Level
Bad salary conditions",1.0,N26
Senior IT Compliance Manager,Berlin,Flexible work hours and Diverse teams,"Very poor work culture, poor communication from senior management, too much politics and silo-ed work",2.0,N26
Customer Service Associate,Berlin,opportunity to work every day and some great employees,bad management everyone was expendable and happily rotate staff bad at keeping moral,3.0,N26
AFC,Berlin,"People, Groupwork and projects and environment",Maybe the tasks can be scheduled better,5.0,N26
Complaint Associate,Berlin,Many advantages that are constantly changing like a budget to study,Some depending on the position and department,4.0,N26
Global social community manager,Berlin,"- creative
- challenging
- support from all teams","It might be chaotic sometimes and not everyone is able to deal with it. 
I personally love it.",5.0,N26
Software Engineering,Berlin,"This is still a startup. A successful one, in later stages of growth (after hypergrowth phase), on the way to IPO. Requires real hard work and bigger-scale experience. If you look for a happy 20 ppl everyone-knows-everyone setup this is not for you. If you want to learn how engineering org with 300 ppl, tens of microservices with modern Ci/CD pipeline work while keeping compliance, reliability and automomy in place you should join. A lot to learn (also some bad examples :). Great engineers and friends.","Founders should trust their management team and be less hands-on and top-down. 
The company approach to remote work after covid is absurd, the teams are super productive while working remotely.",5.0,N26
Anonymous Employee,Berlin,"- Fast-paced 
- Ability to learn quickly 
- Great people 
- High autonomy","- Lack of growth opportunities 
- Long-term employees are not valued 
- Low salaries compared to what the market pays",3.0,N26
Software Engineer,Berlin,Very Innovative place to work,Can't think of anything so far,5.0,N26
User Researcher,Berlin,Great teammates and very interesting problem space,Too many changes. Lack of management or fair assesment,2.0,N26
Tech Lead,Berlin,"* Great product
* Great people - co-workers
* One can pick an initiative and take it from start to finish. Persistence required but eventually I can make things happen.
* Tech side of things is modern with strong emphasis on quality, security
* I also really like the attention to detail in design so we make a product with focus on customer use cases
* Compensation got much better lately","* Many big shifts in priority in the past
* I hope we won't repeat the issues of the past with hypergrowth. At least onboarding is definitely getting better with time",5.0,N26
Project Manager,Berlin,Environment where to have huge growth opportunities,High turnover across the company,5.0,N26
Anonymous Employee,Berlin,"Product is good 
Personal dev budget (1500€/year) 
Benefits 
Startup company and easy to grow with","-Bad management 
-Too many changes in hierarchy 
-Confusing responsibilities and way of working
-Projects run too slow because of too much stakeholders involvements
-Lack of passion within teams
-Average salary
-ESOPs instead of salary increase 
-too many office changes
-too many team changes, hiring and resigns (or firing)
-management is inexperienced 
 -Depending too much on external SaaS tools",3.0,N26
Anonymous Employee,Berlin,Nice coworkers and decent salaries,"Temporary contracts, high staff turnover",2.0,N26
Product Designer,Berlin,"I really enjoyed working at N26 for my time there. The direct team is often great, as well as the direct managers, that are often very talented and with a lot to learn from.
Despite the negative sides I would still recommend it as a place to work, given that they fixed the low salaries for the design positions.","The main issues at N26 are imho from the upper management. The direction of the company is very much top-down and -though they have been trying to change that- the individual teams/segments have not enough ownership to drive the initiatives that they believe would have the most impact. As a result, processes become sluggish, people sometimes become less motivated because to achieve anything you need to go through endless loops. 
Furthermore the employees have little trust of the leadership team. From my experience, after a while I stop caring on what the leadership was saying and focused on my work and team (which was great). There's no point watching the founders Q&A sessions if all you get out of it is inconclusive, ready-made answers.",4.0,N26
Senior Agile Coach,Berlin,"on-market salary, free lunch once a week.","nightmares, bullying, nepotism, politics, egos.",1.0,N26
Manager,Berlin,fun time with smart people,low pay and no transparency.,1.0,N26
Customer Service Specialist,Berlin,"great team/colleagues
start up environment
lots of career opportunities","no bonuses (even if we meet targets)
a lot of information to assimilate and not enough time given to do so
procedures are not always easy to find",3.0,N26
Senior Customer Service Representative,Berlin,Colleagues and paid BVG card are the best thing about N26.,"No transparency when it comes to promotions , contract renewals and sacked.",3.0,N26
Anonymous Contractor,Berlin,Great place to work with pwoplw,Nothing to report for now,5.0,N26
Intern,Berlin,"Collaboration, People, Perks, Time off","Aggressive Culture, no direction, young leadership",4.0,N26
Software Engineering Manager,Berlin,"- Talented, driven colleagues
- super strong brand, good product","- culture modelled by founders is ""success only"", low transparency/empathy
- product focus is missing, investments across many directions (rather than focussed)
- mass exodus of staff that repeats every 2 years",3.0,N26
Software Engineer,Berlin,"Great company to work, nice work environment, a lot of freedom to decide stuff, GSDD, strong name to have in your CV, etc","Founders are a bit conservative regarding remote work.
I found it a bit unorganized, specially on communication between different teams, a downside of having microservices architecture.",5.0,N26
Customer Support Specialist,Berlin,Great colleagues & location of workplace,"No work life balance, minimal development options, overpaid team leads, pointless performance meetings",2.0,N26
Anonymous Employee,Berlin,"International colleagues, big player in the industry","Huge staff turnover, lack of leadership almost everywhere, terrible communication from management",2.0,N26
Performance Marketing Manager,Berlin,very few. the only thing I can think of is - well nothing.,The Founders are a boy club of Austrians that only care about the money they will make when the company has an IPO and could care less about the employees. People leave so fast that no one even knows who works there anymore. It is ship that is sinking so fast!!! What a shame.,1.0,N26
Anonymous Employee,Berlin,"- Gives enough decision-making authority
- Allows to be creative
- Provides the opportunity to learn
- Not very political
- Enjoyable place to work","- Main offices are located in Berlin
- Career path not very well defined in most teams
- Often contracts do not get renewed
- Most managers lack proper managerial skills
- Team culture differs vastly from one team to another",4.0,N26
Team Leader,Berlin,"Good employee interaction, not so much due to Corona","Management communication, interaction between departments",2.0,N26
Senior Product Manager,Berlin,Good tech and use to have great people to work with.,"CEO is such a baby, everyone working with him ends up quitting. 
Domino's effect, so many people are leaving, creating even more chaos.",2.0,N26
Customer Service Specialist,Berlin,Have made some great friends,"Constantly taking 2-3live chats simultaneously for up to 7 hours per day.

All of the benefits we were promised were taken away

Customer service are treated like 2nd class citizens in the company.

Constantly changing processes

False promises",1.0,N26
Product Manager,Berlin,"(from the start of my time at N26)
- Amazing team, some of the smartest and most motivated people I've ever worked with
- Tons of opportunity for growth in your career
- A strong brand","- Co-founders don't trust the seasoned executives they bring in to do what they are there to do
- Lack of willingness to make hard decisions about priorities, or delegate decision making beyond the ""inner circle"" of top management that has been there from the start
- That ""inner circle"" is completely out of touch with what it means to be one of their employees and have zero empathy for how their decisions impact the lives of their employees, or the product negatively
- The only way to get something done is to play massive political games
- Logic almost never wins out",2.0,N26
Anonymous Employee,Berlin,Great friends in immediate team,"Founders don't trust their team
Marketing leaders always changing
Founders only promote their friends
Product does not innovate
All talk, no action. Marketing leaders pretend to be nice. It’s all lip-service",1.0,N26
Internship Operations,Berlin,"Team, flexible working environment, making an impact (if you get cool tasks)",Messy organisation at the time I was there - roles and goals of teams were changing all the time,3.0,N26
Anonymous Employee,Berlin,"Diverse talents from around the world, you can make a difference",It can be chaotic but part of a growing company,4.0,N26
Recruiting,Berlin,"Relocation bonus, visa assistant, international environment and new office. Recently they gave us a raise but it's too late since most team members who were actually doing work and care about delivery quality had all left.","Leadership in HR are extremely under qualified, which leads to insecurities and rewarding/hiring only those who make them look good. Looking good is really the only thing that matters, you can get away with a lot by complimenting management in public settings and patting each other on the back for projects that are designed only to make management look good (no practical value added). Most of the competent and driven people had left the team in the beginning of this year because they were underpaid and overworked, replaced by agency recruiters who care only about commission and not at all the quality of their hires (which I can imagine will have a very negative effect down the line across company). I cannot recommend you to join this company. Only do so if you must, it's not a happy environment.",2.0,N26
Engineering Manager,Berlin,Possibilities to make a difference if you look for the opportunities.,"It's a quickly changing place, you need to be adaptable and have an appetite for complexity to thrive.",4.0,N26
Senior Business Analyst,Berlin,"dynamic, busy, responsibility, innovative, people",not sure what to mention,5.0,N26
Customer Support,Berlin,"Amazing talented colleagues, an experience in the Finntech
Money at the end of the month to eat
Free drinks ?","- Awful management ! All the rumors are true !

- Founders are friendly and took time to discuss with their workforce during momentum of crisis but it seems just beow them it's a total mess.

- Low salaries ! They said they have 2 rounds March and September, it's a LIE. On March it is to go on another level (BTW no one understand anything about this and when you ask HR they say it's confidential. Wut? This information has been made public therefore this is not a company secret anymore). On September they tell you that since the policy around it has changed and it is also ""in relation to the general bahaviour"", basically you can kiss goodbye the tiny piecce of cheese you would get out of it anyway.

- Never integrating CS suppot in anything. Therefore you learn about major changes of the product sometimes the same day as a customer. #adaptability

- Buggy processes. Never applying feedback.

- Firing the talents but outsourcing on external centers that do not follow the same quality standards.

- Promoting ass-kissers despite more capable employees. It makes you wonder who is taking the decisions upstairs.

- Departments that delagate the shitty tasks to lower level because reasons ? Of course, consequently, responsabilities are increasing on a personel level but not the money ;)

- Q and A's sessions are the best dodging bullets scene I have ever seen. They are only good if you want to learn irrelevant topics about management and how good marketing is doing.

- Forget about evolutions. You are just good to be an extra. Nothing more",2.0,N26
Tech Recruiting,Berlin,"The people are so dynamic, however a lot of people have left recently","Leadership. Bad behaviour is celebrated. A culture of 'visibility' which leads to no meritocracy and no benefit of doing a good job. You can say you're 'busy' and do nothing. If you are visible then you are able to feel some sort of praise. Otherwise, the ones who are working hard and dedicating themselves are left alone. 

If anyone is looking to join, they need to establish why they are joining, you won't be promoted or be given any salary increase unless you sell your soul and suck up to the management.",2.0,N26
Intern,Berlin,"Flexible, young, amazing people with different backgrounds,","a total mess, and unfortunately no real opportunity to grow inside the company. crazy turnover.",3.0,N26
Senior CS Specialist,Berlin,"Nice people
Opportunity to learn new skills","Hypergrowth, heavy on medium management.",3.0,N26
Engineering Manager,Berlin,"Always wanted to work for a startup bank!! Maybe one day others will believe it too!!!

Throughout the last few years I witnessed exponential hypergrowth, in the sense of new blood coming into the meat grinder and old discarded. At a very calculated interval of 6-12 months!
What a gamechanger!

Such a splendid atmosphere eating sugary snacks to keep running in the treadmill! The very little benefits and below market pay in engineering keep my subordinates very stimulated. The -1 budget for team events is an added bonus!

Loved working with burned-out engineers while trying to avoid the political minefields of toxic managers and ‘yes men’ that wait us in every corner. 
Turned a blind eye to bully engineers turned managers overnight and mastered avoiding sec sociopaths that were given management duties!

I had the opportunity to be called into last moment meetings about compliance topics that should have been done yesterday, fudge the way to the next audit to avoid more regulatory fines from Bafin and hear about customer data stolen that nobody knows what they were!

The company mission kept me on my feet, year after year! Let’s do 200 things when realistically we can do 50.
Who cares as long as we can have cool warehouse parties with the founders!

Total lack of focus and working processes made me better at useless ping-pong with others… almost championed the public sector 9-3 style of N26 Bank.

Unfortunately other directors that come and quit within the year were not so determined. So weak :(
Same goes for all those who disappeared on a friday afternoon. You didn’t see it coming, did you?

The epitome of success is measured by how many CTOs we are changing within a year. Ask any engineer!
My favourite interim CTO moment was when our saviour got promoted, fired managers that disagreed with the complete lack of plan, toured around offices like a rockstar with his baseball cap and ‘agile consultant’ supporters, got demoted AND quit… ALL in 6 months.
What a ride! It got me more acquainted with kitkat!

Finally, a big thanks to the HR hard core. Ruthless, trained in hire & fire techniques, they always find time if it’s about whipping.
With resourceful denial they have been downplaying the countless something-hit-the-fan moments, giving us lots of self-praising bot-style answers about N26 achievements! The joy!!
I love the way they take feedback constantly over the years and making N26 great again!!

After all, it's no surprise that N26 is the top startup employer in the world! Constantly hiring and in hypergrowth.
For example, since Feb last year we are 300 employees less! If this is not sustainable growth towards 0, what is it?!

Apollo 13, is the mission that exactly matches N26. I’m proud to say that with such determined leadership we made it already 5 times there!! Hurrah hurrah!","Nothing… except those works council persons that dare to gather in bars to resist the masters. Treason! 
Good thing that the CEO sent the cops in time and showed them who’s the boss!
I’m confused about his later tweet tho!

Still miss those Amalfi coast CX retreats that we get pampered with. What a celebration of being in love with ourselves! After all we deserve it for doing such a job!

I have no doubts about the glorious future! Running out of money or flash sale are the two success scenarios on the table and I can’t wait to give every last drop of engineering essence for our leaders pocket and future keynote story!

Je t’aime N26!",1.0,N26
Customer Specialist,Berlin,"Great work environment, lots of support","Lack of consistent work hours, changed from week to week.",4.0,N26
Banking Operations Analyst,Berlin,"- Able to use a wide variety of software and tools
- Able to be promoted within a short time period
- Beer in the kitchen refrigerators
- Flexible schedule and able to work remotely","- Working overtime is required on a daily basis
- Must prove yourself and show extreme loyalty to earn a permanent contract 
- Very low salary
- Incompetent managers and team leads
- Young professionals who are very inexperienced 
- Multiple languages is a requirement if you want to succeed in a role
- Operations departments are extremely disorganized
- Operations departments are extremely understaffed
- Very repetitive tasks that take a toll on mental health
- Saturday work",3.0,N26
Head of Department,Berlin,"Equipment, free drinks, super talented colleagues (up to TL/manager level only)","Zero value of staff, experience, excellence. Toxic culture and environment.",2.0,N26
Business Operations,Berlin,Very smart people from whom you can learn a lot. The product itself is really cool and has a lot of potential.,Top management made mostly of Linkedin celebs that are completely out of touch from their departments and too busy managing up to be able to understand how their teams work. This causes a lot of frustration because many times decisions are taken without any knowledge on how they operationally and structurally affect the teams and the product.,3.0,N26
Operations Intern,Berlin,"Average pay for Berlin
Nice office environment","Communication between higher level management and team is bad
Employees not valued",2.0,N26
Operations Associate,Berlin,opportunities to make extra for working holidays,"not much flexibility in schedule; baseline pay to afford living in the area; often made to work overtime without being compensated, but then scolded for needing time to leave early/ for appointments/ etc.; told we were promoted and allowed to take on new role, but waited months for it to become official - paid same wage while working a higher up role for nearly 6 months",2.0,N26
Project Manager,Berlin,"Free food and drink , cool building, nice team","Low salary, a bit messy for process",3.0,N26
Product Manager,Berlin,"Mostly nice colleagues 
snacks in the office
not much else","This has been the experience for the last 20 months and I don't see any positive change:

Very bad politics
Below market salary
Upper management don’t care about employees or retention rates.
Lack of recognition of good work.
Lots of chaos due to lack of transparency, decision making and high attrition rates.
Lots of disappointment and difficult to grow ones career internally.
Promotions without getting a raise.
Lots of pressure to be compliant but very little support to make it feasible 
Budget constraints and limited resources.
Unachievable deadlines
Under qualified management with very little experience
Constant process changes which makes everything complicated and take extra long - very difficult to get stuff done
People team is there to support the founders, not to make employee experience good",1.0,N26
